OBJECTID,Type,Status,Facility Name,Comment,GlobalID,CountAttachments,AttachID,x,y
5,Sidewalk Curb Cut,Active,Memorial Centre & Outdoor Aqua Park,,f354aa09-d09b-479b-b4a8-4ba54187ebfc,1,1225,-8516027.7608,5502440.6515
6,Sidewalk Curb Cut,Active,Memorial Centre & Outdoor Aqua Park,,a01b27d8-369c-47f6-931d-7fdb0984d3e3,0,,-8515864.5473,5502446.7526
8,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,f8e0889d-858a-4c16-b685-d18e20bd1478,1,1228,-8515925.8573,5502464.7519
9,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,e136d4db-d1ec-4248-8e94-83376f4b7213,1,1229,-8515917.8024,5502478.8409
11,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,b9c1acde-9899-4ac4-a350-63104601a75b,1,1233,-8515826.9687,5502505.9205
12,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,2164574d-0af2-4582-b2ea-056bcc4ca2f3,0,,-8515826.9687,5502505.9205
13,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,42fad1da-65d2-4741-8cfa-f0b30143e547,1,1232,-8515777.0702,5502488.0321
14,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,7563ecf5-5b1d-428b-98c7-be92d8786cd9,1,1234,-8515726.1981,5502476.0834
15,Sidewalk Curb Cut,Active,Memorial Centre & Outdoor Aqua Park,,9a4820fa-f31d-4967-9d95-480c096831bc,0,,-8515711.1005,5502462.5913
16,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,c4f99dce-90f5-4ab0-8d86-b736d2c36f44,1,1235,-8515801.0233,5502459.4756
17,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,48cb41e1-9a63-4210-a653-96a92f441f1c,1,1236,-8515810.321,5502478.5515
18,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,551d832b-e5c7-4436-a46f-f076cb79bca5,1,1237,-8515766.1089,5502492.0935
19,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,a0b2a853-f7bd-4ade-831e-9fd9d75fab35,1,1238,-8515766.4485,5502516.17
20,Accessible Table,Active,Memorial Centre & Outdoor Aqua Park,,137e94ce-6f1f-4edd-b0e2-ec894839024c,1,1239,-8515782.1969,5502516.7699
21,Accessible Table,Active,Memorial Centre & Outdoor Aqua Park,,0e900a69-cf20-4fa1-88fa-fe74d93bf8a9,1,1240,-8515813.9283,5502498.4228
22,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,40f4c2df-8bf7-455a-8599-c3eff5afad19,0,,-8515793.9182,5502501.4542
23,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,a32bc391-d025-44b5-a120-8b2ed0ad9b13,0,,-8515881.9793,5502497.6695
24,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,af98efbd-dc68-435e-89b3-962900401ac0,1,1241,-8515854.5996,5502495.7037
25,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,a76548ea-6b90-4928-b80d-3d729008f304,1,1242,-8515853.3772,5502477.1706
26,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,d2fb1a97-e5d4-4cf8-947c-36b4270b7d78,0,,-8515852.4662,5502464.9486
27,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,850a20aa-9c65-4bbe-bd2c-62be700ac7df,1,1243,-8515881.4787,5502475.57
28,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,5735d4c1-fee6-4936-95cd-1a1cb687202a,0,,-8515893.3676,5502480.2871
29,Splash Pad,Active,Memorial Centre & Outdoor Aqua Park,Open May long weekend to mid-fall 9 a.m. to 9 p.m.,ff8f3f4a-ed34-4c4d-9231-610c3d223edb,2,1246,-8515807.8921,5502525.6409
30,Sidewalk Curb Cut,Active,Memorial Centre & Outdoor Aqua Park,,0b4039ae-0a1a-4999-a751-a67f9dcebbf4,1,1248,-8515766.1666,5502548.3539
31,Accessible Parking Space,Active,Memorial Centre & Outdoor Aqua Park,,d5e81214-e845-498e-b360-81fe521f9e37,1,1249,-8515770.8766,5502553.8196
32,Accessible Parking Space,Active,Memorial Centre & Outdoor Aqua Park,,7773ea98-a980-413a-891b-c2e62710bc58,1,1250,-8515771.1799,5502560.3529
33,Accessible Pathway,Active,Memorial Centre & Outdoor Aqua Park,,3c761982-7b2c-444c-b258-7d5fe351319a,0,,-8515748.16,5502536.4942
35,Accessible Bench,Active,Memorial Centre & Outdoor Aqua Park,,d7a8adcc-0cdf-49a4-89d0-54ae5215bc7d,1,1251,-8515731.2502,5502483.7445
