OBJECTID,LOT_ID,LOT_NAME,CAPACITY,CONTROL_TYPE,HANDICAP_SPACE,OWNERSHIP,MAP_LABEL,Shape__Length,Shape__Area,GLOBALID
4,2,UPPER ROBERT BRUCE MEMORIAL LOT,52,1,2,City of Kingston,Upper Robert Bruce Lot,231.190597696169,1755.13072269,{2E2E1ACA-AC1E-4D5A-BF72-87045214AD93}
18,18,ANGROVE LOT,72,1,2,City of Kingston,Angrove Lot,238.86784034988,2243.7482755,{378966F6-C6EF-4529-9337-1B480E36D62F}
22,7,CHOWN MEMORIAL GARAGE,451,1,20,City of Kingston,Chown Memorial Garage,229.799783718917,2786.81454773,{75D3F479-1F60-481A-AB4E-0E0C52A7DE01}
24,8,HANSON MEMORIAL GARAGE,271,1,10,City of Kingston,Hanson Memorial Garage,185.075669737006,1930.122991185,{0A4EDC8A-A87F-4C83-8E2E-DDE8BD6F483B}
362,19,FRONTENAC LOT,169,1,2,City of Kingston,Frontenac Lot,405.287400843484,6145.785536965,{5766E373-5C46-4FB9-AC58-863869116720}
364,41,HOLIDAY INN LOT,210,1,0,Private,Holiday Inn Lot,356.896929180353,6318.38444954,{9E46F1E9-8487-460E-B0F4-2FA5C8AE4972}
366,18,KINGSTON FRONTENAC PUBLIC LIBRARY LOT,11,1,1,City of Kingston,Public Library Lot,96.5319007565288,492.57658036,{490C8559-EBD0-4C2D-B07D-3B2DA86FF571}
367,17,PUMP HOUSE STEAM MUSEUM LOT,43,1,2,City of Kingston,Pump House Lot,259.843554566396,1919.21941172,{100B94B0-C924-4E97-8434-FFBDF2F61D3E}
369,28,QUEENS KGH UNDERGROUND GARAGE,570,1,N/A,Private,Queen's KGH Underground Garage,422.071203977213,11255.072340945,{E56D7560-10D7-49F0-8FBA-9474C5A7B6DD}
371,20,BYRON LOT,73,2,1,City of Kingston,Byron Lot,213.163398082825,2296.45644889,{7CA416D2-88DF-47B5-824D-FECC0BD79730}
374,13,ORDNANCE LOT,30,2,0,City of Kingston,Ordnance Lot,144.779126416894,888.566931915,{5254CCB1-927D-4CBE-9375-B36E1629D867}
375,4,GORSLINE LOT,91,1,8,City of Kingston,Gorsline Lot,477.254085064151,5725.857188165,{ABF7FCB5-EC05-45EA-BB56-8D6EEB7D4778}
376,21,FRONTENAC COUNTY COURT HOUSE LOT,101,1,2,City of Kingston,Court House Lot,552.486752771313,5962.711934295,{1155F5A7-CC8B-4372-B5D6-558A1C1E7E43}
377,20,KINGSTON MARRIOTT HOTEL GARAGE,217,1,0,Private,Kingston Marriott,192.439317558211,2254.8748394,{A5D207AD-1259-4763-B45B-C65DC5D9F26A}
378,27,ONTARIO BROCK LOT,109,1,0,City of Kingston,Ontario Brock Lot,298.199136680844,3814.876310585,{7BB4514E-6DCA-438C-B8F8-2AE2950E31E2}
666,38,CRAWFORD WHARF LOT,,,,City of Kingston,Crawford Wharf Lot,123.28343613932,915.569888485,{C74436A0-3053-48E9-B5B6-372013DBF277}
987,31,OHIP LOT,200,2,,Private,OHIP Lot,532.190933235376,7651.974057755,{59164CF1-EB6E-4F21-8A38-A64E39EE836B}
1310,16,RICHARDSON BEACH LOT,27,1,1,City of Kingston,Richardson Beach Lot,322.600783920827,1332.899379175,{D4EA7516-C420-490F-8418-1F901F5BFF8B}
1311,15,KGH WATERFRONT LOT,51,1,0,City of Kingston,Waterfront Lot,359.098768600006,2075.388814975,{4AFAD4DC-1E35-4E8F-BC98-852D18EF575B}
1632,<Null>,BWB LOT,,2,N,City of Kingston,BWB Lot,141.71584220013,1213.7843695,{54A7019B-FE75-4259-B783-73833159B32B}
3248,35,MONTREAL ST PARK & RIDE,,,,City of Kingston,Montreal St Park & Ride,577.079275907969,5036.11558758,{5010353B-1DA9-431F-A503-D5838F920784}
3569,37,ANGLIN LOT,227,2,0,City of Kingston,Anglin Lot,359.787878919871,6976.336820885,{71E5E321-540B-4AE1-81F5-842D42DE2BC0}
3888,23,BARRACK LOT,114,1,2,City of Kingston,Barrack Lot,274.495703098175,4391.679930525,{DBC4838D-22A1-4E0F-A72A-6B8FD0EDF81B}
4208,11,SPRINGER MEMORIAL LOT,59,1,1,City of Kingston,Springer Memorial Lot,211.139696519479,2129.70062767,{DF296947-F22A-43A3-AF4C-3DBB9B6286C6}
4209,6,MCKEE MEMORIAL LOT,50,1,1,City of Kingston,McKee Lot,152.980631803914,1459.41435829,{EEDACB82-44CB-446A-8C25-0915BCE75EB2}
